"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",1,0.714696503744416,0.0595580419787013
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",2,0.820686663080361,0.0683905552566968
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",3,0.958489310987914,0.0798741092489929
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",4,1.08300077878955,0.0902500648991292
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",5,1.30182904470155,0.108485753725129
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",6,1.51136203581832,0.125946836318193
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",7,1.49274084703014,0.124395070585845
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",8,1.30550055534267,0.108791712945223
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",9,0.998989310382055,0.0832491091985045
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",10,0.726574818699327,0.0605479015582773
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",11,0.574312200499679,0.0478593500416399
"Portal - Boat Trader Online","US_Southwest  - Geographical Area",12,0.511817930924015,0.0426514942436679
"Portal - Boat Trader Online","US_Southeast - Geographical Area",1,0.77625120386307,0.0646876003219225
"Portal - Boat Trader Online","US_Southeast - Geographical Area",2,0.891813760759322,0.0743178133966101
"Portal - Boat Trader Online","US_Southeast - Geographical Area",3,1.07090304634219,0.0892419205285158
"Portal - Boat Trader Online","US_Southeast - Geographical Area",4,1.14116977829163,0.0950974815243023
"Portal - Boat Trader Online","US_Southeast - Geographical Area",5,1.49561788656396,0.12463482388033
"Portal - Boat Trader Online","US_Southeast - Geographical Area",6,1.60803734769857,0.134003112308214
"Portal - Boat Trader Online","US_Southeast - Geographical Area",7,1.45008675914357,0.120840563261964
"Portal - Boat Trader Online","US_Southeast - Geographical Area",8,1.11679819123324,0.0930665159361037
"Portal - Boat Trader Online","US_Southeast - Geographical Area",9,0.828340671553457,0.0690283892961214
"Portal - Boat Trader Online","US_Southeast - Geographical Area",10,0.568614058058366,0.0473845048381972
"Portal - Boat Trader Online","US_Southeast - Geographical Area",11,0.516011409700379,0.0430009508083649
"Portal - Boat Trader Online","US_Southeast - Geographical Area",12,0.536355886792246,0.0446963238993538
